time,10m,20m,30m,40m,50m,60m,70m,80m,90m,100m,110m,120m,130m,140m,150m,160m,170m,180m
10,3.073,4.048,5.201,5.982,6.9685,7.955,8.243,8.531,8.8445,9.158,9.3675,9.577,9.817,10.057,10.2885,10.52,10.6555,10.791
20,3.103,4.512,5.538,6.258,7.3275,8.397,8.65,8.903,9.0875,9.272,9.4985,9.725,9.8885,10.052,10.3195,10.587,10.959,11.331
30,3.142,4.371,5.351,6.252,7.3705,8.489,8.671,8.853,8.98,9.107,9.4425,9.778,10.0675,10.357,10.7615,11.166,11.567,11.968
40,3.142,4.309,5.6,6.404,7.4955,8.587,8.788,8.989,9.0455,9.102,9.194,9.286,9.7825,10.279,10.668,11.057,11.289,11.521
50,3.458,4.84,6.16,7.043,8.097,9.151,9.881,10.611,11.1245,11.638,12.0365,12.435,12.5035,12.572,12.6245,12.677,12.7655,12.854
60,3.232,4.734,5.969,6.845,8.048,9.251,9.912,10.573,11.1095,11.646,11.8975,12.149,12.26,12.371,12.488,12.605,12.7165,12.828
70,3.232,4.731,6.097,7.142,8.324,9.506,10.337,11.168,11.8155,12.463,12.6425,12.822,12.9015,12.981,13.0355,13.09,13.1805,13.271
80,4.259,5.181,6.059,6.952,7.5515,8.151,8.8195,9.488,10.174,10.86,11.2805,11.701,11.818,11.935,12.0165,12.098,12.1785,12.259
90,3.842,4.98,5.748,6.16,6.7935,7.427,8.081,8.735,9.4055,10.076,10.68,11.284,11.4185,11.553,11.644,11.735,11.7895,11.844
100,3.708,5.24,6.064,6.766,7.222,7.678,8.06,8.442,8.7735,9.105,9.476,9.847,10.3415,10.836,11.185,11.534,11.675,11.816
110,3.708,4.768,5.601,6.143,6.647,7.151,7.4655,7.78,8.1465,8.513,8.7525,8.992,9.382,9.772,10.1615,10.551,10.926,11.301
120,3.708,5.217,6.241,6.739,7.1665,7.594,7.9505,8.307,8.6525,8.998,9.2745,9.551,9.816,10.081,10.429,10.777,11.0005,11.224
130,3.708,5.703,6.624,7.021,7.3565,7.692,7.978,8.264,8.398,8.532,8.7175,8.903,9.059,9.215,9.343,9.471,9.7515,10.032
140,3.708,4.948,5.909,6.233,6.466,6.699,6.969,7.239,7.509,7.779,8.078,8.377,8.6095,8.842,9.0945,9.347,9.635,9.923
150,3.708,5.049,5.815,6.31,6.497,6.684,6.7875,6.891,6.9765,7.062,7.1855,7.309,7.4245,7.54,7.701,7.862,8.1555,8.449
160,3.708,4.15,4.993,5.501,5.915,6.329,6.45,6.571,6.765,6.959,7.02,7.081,7.179,7.277,7.4245,7.572,7.7495,7.927
170,3.708,4.275,4.751,5.089,5.304,5.519,5.7165,5.914,6.157,6.4,6.588,6.776,6.964,7.152,7.3085,7.465,7.6275,7.79
180,5.053,6.095,6.604,6.802,7.229,7.656,7.9645,8.273,8.4035,8.534,8.699,8.864,9.0145,9.165,9.406,9.647,9.7615,9.876
190,5.767,7.2,8.007,8.344,8.758,9.172,9.551,9.93,10.0705,10.211,10.45,10.689,10.923,11.157,11.2285,11.3,11.37,11.44
200,4.478,5.688,6.343,6.698,7.177,7.656,7.9145,8.173,8.354,8.535,8.6525,8.77,8.841,8.912,9.0025,9.093,9.2345,9.376
210,3.895,5.006,5.927,6.484,7.1485,7.813,8.152,8.491,8.709,8.927,9.12,9.313,9.4125,9.512,9.6215,9.731,9.8075,9.884
220,4.266,5.51,6.392,6.58,6.958,7.336,7.678,8.02,8.141,8.262,8.492,8.722,8.8115,8.901,8.995,9.089,9.2025,9.316
230,4.266,4.744,5.573,6.027,6.745,7.463,7.7365,8.01,8.262,8.514,8.6365,8.759,8.913,9.067,9.1605,9.254,9.4435,9.633
240,3.714,4.784,5.527,6.197,6.5925,6.988,7.357,7.726,7.984,8.242,8.519,8.796,8.98,9.164,9.341,9.518,9.6785,9.839
250,3.775,4.625,5.451,5.851,6.2795,6.708,7.047,7.386,7.6265,7.867,8.041,8.215,8.4395,8.664,8.925,9.186,9.3935,9.601
260,3.5,4.284,4.932,5.577,6.125,6.673,7.067,7.461,7.7935,8.126,8.2825,8.439,8.528,8.617,8.8245,9.032,9.2365,9.441
270,3.343,4.29,4.891,5.487,5.7585,6.03,6.3415,6.653,6.9115,7.17,7.3955,7.621,7.872,8.123,8.414,8.705,8.933,9.161
280,2.992,3.81,4.69,5.067,5.556,6.045,6.37,6.695,7.0525,7.41,7.647,7.884,8.0885,8.293,8.4645,8.636,8.856,9.076
290,3.195,4.006,4.831,5.358,6.028,6.698,7.107,7.516,7.807,8.098,8.3365,8.575,8.791,9.007,9.25,9.493,9.6895,9.886
300,3.411,4.36,5.052,5.54,6.174,6.808,7.274,7.74,8.1905,8.641,8.9835,9.326,9.5385,9.751,9.9255,10.1,10.285,10.47
310,3.445,4.294,5.123,5.938,6.5035,7.069,7.5395,8.01,8.4125,8.815,9.1645,9.514,9.796,10.078,10.306,10.534,10.7075,10.881
320,3.257,4.432,5.155,5.967,6.4485,6.93,7.4925,8.055,8.445,8.835,9.1565,9.478,9.75,10.022,10.2465,10.471,10.71,10.949
330,3.258,4.066,4.849,5.612,6.3185,7.025,7.489,7.953,8.3325,8.712,9.026,9.34,9.659,9.978,10.2235,10.469,10.6695,10.87
340,3.307,4.111,4.934,5.687,6.208,6.729,7.2305,7.732,8.1605,8.589,8.978,9.367,9.682,9.997,10.3405,10.684,10.9545,11.225
350,2.869,3.649,4.349,4.829,5.563,6.297,6.936,7.575,8.0265,8.478,8.8535,9.229,9.595,9.961,10.2715,10.582,10.9,11.218
360,2.832,3.737,4.524,4.771,5.345,5.919,6.386,6.853,7.2995,7.746,8.092,8.438,8.838,9.238,9.586,9.934,10.2415,10.549
370,2.824,3.669,4.388,5.115,5.672,6.229,6.706,7.183,7.582,7.981,8.321,8.661,8.9275,9.194,9.48,9.766,10.063,10.36
380,3.557,4.478,5.366,5.675,6.2265,6.778,7.2225,7.667,8.1585,8.65,8.992,9.334,9.6505,9.967,10.351,10.735,11.1015,11.468
390,2.951,3.598,4.313,5.261,5.902,6.543,7.1295,7.716,8.142,8.568,8.8975,9.227,9.5725,9.918,10.236,10.554,10.887,11.22
400,2.548,3.551,4.391,4.894,5.6315,6.369,6.94,7.511,7.963,8.415,8.7775,9.14,9.498,9.856,10.1215,10.387,10.591,10.795
410,1.877,3.159,4.01,4.725,5.276,5.827,6.3175,6.808,7.334,7.86,8.2455,8.631,9.0145,9.398,9.75,10.102,10.387,10.672
420,1.873,3.477,4.551,4.972,5.615,6.258,6.832,7.406,7.977,8.548,8.989,9.43,9.826,10.222,10.604,10.986,11.199,11.412
430,2.351,3.706,4.752,5.191,6.084,6.977,7.5855,8.194,8.7345,9.275,9.6,9.925,10.301,10.677,11.005,11.333,11.573,11.813
440,2.33,3.916,4.927,5.62,6.286,6.952,7.642,8.332,9.0075,9.683,10.189,10.695,11.1245,11.554,11.8825,12.211,12.4255,12.64
450,2.661,4.056,5.058,5.9,6.664,7.428,8.205,8.982,9.661,10.34,10.866,11.392,11.821,12.25,12.517,12.784,13.0545,13.325
460,2.717,4.196,5.428,5.826,6.654,7.482,8.168,8.854,9.425,9.996,10.59,11.184,11.637,12.09,12.36,12.63,12.919,13.208
470,2.898,4.466,5.322,6.18,6.694,7.208,7.979,8.75,9.392,10.034,10.479,10.924,11.347,11.77,12.0575,12.345,12.933,13.521
480,2.51,3.991,5.182,5.735,6.424,7.113,7.756,8.399,9.0725,9.746,10.2995,10.853,11.277,11.701,12.144,12.587,13.354,14.121
490,2.354,3.847,5.039,5.679,6.394,7.109,7.8265,8.544,9.298,10.052,10.685,11.318,11.819,12.32,12.7705,13.221,13.647,14.073
500,2.578,4.026,5.41,6.525,7.262,7.999,8.8215,9.644,10.4065,11.169,11.7065,12.244,12.7185,13.193,13.573,13.953,14.265,14.577
510,2.553,4.372,5.603,6.797,7.5955,8.394,9.202,10.01,10.7695,11.529,12.1435,12.758,13.2305,13.703,14.0265,14.35,14.5665,14.783
520,2.597,4.49,5.617,6.695,7.409,8.123,9.0895,10.056,10.84,11.624,12.2095,12.795,13.237,13.679,14.09,14.501,14.7675,15.034
530,2.835,4.881,5.975,6.498,7.1665,7.835,8.667,9.499,10.2515,11.004,11.6975,12.391,12.9825,13.574,14.059,14.544,14.894,15.244
540,2.548,4.087,5.304,6.431,7.26,8.089,9.0695,10.05,10.9335,11.817,12.485,13.153,13.6365,14.12,14.548,14.976,15.326,15.676
550,2.557,4.499,5.617,6.673,7.6085,8.544,9.5225,10.501,11.3065,12.112,12.7495,13.387,13.836,14.285,14.687,15.089,15.45,15.811
560,2.901,4.625,6.268,7.398,8.2005,9.003,9.9905,10.978,11.763,12.548,13.1205,13.693,14.1355,14.578,14.952,15.326,15.673,16.02
570,2.901,5.365,6.672,7.574,8.283,8.992,9.804,10.616,11.4585,12.301,13.019,13.737,14.208,14.679,14.998,15.317,15.6505,15.984
580,2.901,6.048,6.886,7.492,8.2615,9.031,9.7805,10.53,11.2055,11.881,12.4705,13.06,13.527,13.994,14.499,15.004,15.42,15.836
590,4.986,5.81,6.901,7.066,7.881,8.696,9.48,10.264,10.9035,11.543,12.082,12.621,13.243,13.865,14.4395,15.014,15.325,15.636
600,4.448,5.81,7.094,8.091,8.6895,9.288,9.903,10.518,11.0885,11.659,12.1,12.541,13.2065,13.872,14.4695,15.067,15.561,16.055
610,4.212,5.587,6.517,7.881,8.552,9.223,9.914,10.605,11.4055,12.206,12.821,13.436,14.1115,14.787,15.396,16.005,16.3005,16.596
620,4.622,5.947,7.156,7.769,8.7325,9.696,10.2875,10.879,11.4815,12.084,12.673,13.262,13.9015,14.541,15.1595,15.778,16.136,16.494
630,4.634,6.119,7.031,7.746,8.518,9.29,9.911,10.532,11.233,11.934,12.516,13.098,13.784,14.47,15.0255,15.581,16.0865,16.592
640,4.739,6.119,6.513,8.067,8.9935,9.92,10.5785,11.237,11.87,12.503,13.1,13.697,14.3635,15.03,15.631,16.232,16.66,17.088
650,4.694,5.9,6.989,8.493,9.3345,10.176,10.9685,11.761,12.4165,13.072,13.7405,14.409,14.935,15.461,15.9225,16.384,16.7235,17.063
660,4.694,6.829,7.994,8.209,9.217,10.225,10.937,11.649,12.3095,12.97,13.746,14.522,15.0765,15.631,16.1215,16.612,17.038,17.464
670,5.245,6.541,7.496,8.709,9.501,10.293,11.098,11.903,12.5745,13.246,13.8885,14.531,15.1155,15.7,16.104,16.508,16.9165,17.325
680,4.037,5.376,6.259,6.889,7.5815,8.274,9.2165,10.159,10.8475,11.536,12.328,13.12,13.73,14.34,14.893,15.446,15.853,16.26
690,4.037,4.973,5.93,7.032,7.769,8.506,9.3635,10.221,10.947,11.673,12.4265,13.18,13.8795,14.579,15.2325,15.886,16.2985,16.711
700,4.418,5.439,5.979,6.996,7.788,8.58,9.4455,10.311,11.0065,11.702,12.6505,13.599,14.259,14.919,15.566,16.213,16.5375,16.862
710,3.585,4.704,5.127,6.127,6.816,7.505,8.1275,8.75,9.2525,9.755,10.6105,11.466,12.1065,12.747,13.476,14.205,14.6685,15.132
720,3.585,4.183,5.192,6.107,6.7665,7.426,8.1545,8.883,9.5175,10.152,10.855,11.558,12.2325,12.907,13.453,13.999,14.278,14.557
730,3.585,4.911,6.003,6.791,7.577,8.363,9.1005,9.838,10.554,11.27,11.8155,12.361,12.9685,13.576,14.1355,14.695,15.2025,15.71
740,3.436,4.124,5.232,5.914,6.49,7.066,7.8775,8.689,9.2795,9.87,10.581,11.292,11.999,12.706,13.2605,13.815,14.346,14.877
750,2.82,4.472,5.718,6.047,6.992,7.937,8.569,9.201,9.9125,10.624,11.2815,11.939,12.55,13.161,13.761,14.361,14.7595,15.158
760,3.655,4.932,6.248,7.2,7.7745,8.349,9.1875,10.026,10.778,11.53,12.1015,12.673,13.1785,13.684,14.1725,14.661,15.0605,15.46
770,2.997,4.236,5.6,6.811,7.6245,8.438,9.369,10.3,11.122,11.944,12.631,13.318,13.8055,14.293,14.7505,15.208,15.584,15.96
780,2.997,5.071,6.535,7.276,7.955,8.634,9.5565,10.479,11.352,12.225,13.163,14.101,14.764,15.427,15.845,16.263,16.5775,16.892
790,3.972,5.781,6.587,7.469,8.33,9.191,10.258,11.325,12.3425,13.36,14.235,15.11,15.763,16.416,16.7905,17.165,17.4785,17.792
800,3.972,5.781,6.524,7.601,8.342,9.083,10.0675,11.052,11.876,12.7,13.551,14.402,15.14,15.878,16.5575,17.237,17.599,17.961
810,3.972,5.748,6.362,7.34,8.1895,9.039,9.768,10.497,11.283,12.069,12.8395,13.61,14.3385,15.067,15.664,16.261,16.597,16.933
820,2.712,4.815,5.858,6.807,7.733,8.659,9.722,10.785,11.657,12.529,13.3255,14.122,14.8455,15.569,15.984,16.399,16.6835,16.968
830,2.712,5.24,6.295,6.733,7.6635,8.594,9.6075,10.621,11.3365,12.052,12.9595,13.867,14.683,15.499,16.0945,16.69,16.952,17.214
840,2.712,5.106,6.098,6.608,7.603,8.598,9.3895,10.181,10.963,11.745,12.4425,13.14,14.012,14.884,15.5835,16.283,16.716,17.149
850,2.712,5.038,6.496,7.243,8.173,9.103,9.6395,10.176,10.6905,11.205,11.83,12.455,13.3295,14.204,14.998,15.792,16.3085,16.825
860,2.712,5.4,6.592,7.329,8.065,8.801,9.516,10.231,11.108,11.985,12.757,13.529,14.3585,15.188,15.9135,16.639,16.9165,17.194
870,3.823,4.946,6.402,7.203,8.125,9.047,9.6425,10.238,11.015,11.792,12.528,13.264,14.226,15.188,15.731,16.274,16.512,16.75
880,4.442,5.365,5.967,7.134,7.8355,8.537,9.326,10.115,10.751,11.387,12.2885,13.19,13.9165,14.643,15.1275,15.612,15.9135,16.215
890,4.449,5.365,6.435,7.415,8.121,8.827,9.699,10.571,11.2205,11.87,12.556,13.242,13.9195,14.597,15.193,15.789,16.2415,16.694
900,4.661,5.47,6.287,6.976,7.8515,8.727,9.541,10.355,11.0185,11.682,12.321,12.96,13.4905,14.021,14.5705,15.12,15.5125,15.905
910,4.387,5.489,6.265,7.254,7.8385,8.423,9.208,9.993,10.6015,11.21,11.9205,12.631,13.188,13.745,14.249,14.753,15.1715,15.59
920,4.393,5.482,6.428,6.983,7.9065,8.83,9.528,10.226,10.815,11.404,11.8525,12.301,12.7865,13.272,13.7505,14.229,14.7445,15.26
930,4.823,5.548,6.565,7.665,8.192,8.719,9.177,9.635,9.952,10.269,10.867,11.465,12.1055,12.746,13.3,13.854,14.269,14.684
940,5.367,6.378,7.285,7.416,8.024,8.632,9.0805,9.529,10.0905,10.652,11.0295,11.407,11.9605,12.514,12.8565,13.199,13.574,13.949
950,5.876,7.842,8.479,8.919,9.592,10.265,10.7005,11.136,11.3845,11.633,11.9335,12.234,12.387,12.54,12.8715,13.203,13.566,13.929
960,6.534,7.882,8.946,9.746,10.4175,11.089,11.4,11.711,11.9645,12.218,12.727,13.236,13.388,13.54,13.8135,14.087,14.332,14.577
970,6.114,7.463,7.88,8.427,9.2835,10.14,10.5825,11.025,11.286,11.547,11.7835,12.02,12.197,12.374,12.531,12.688,12.885,13.082
980,5.925,7.707,9.378,9.528,10.2655,11.003,11.281,11.559,11.7295,11.9,12.2455,12.591,12.9475,13.304,13.47,13.636,13.7845,13.933
990,7.027,8.587,9.446,10.533,10.98,11.427,12.1895,12.952,13.405,13.858,14.4625,15.067,15.327,15.587,15.713,15.839,16.129,16.419
1000,6.036,8.266,8.552,9.628,10.323,11.018,11.213,11.408,11.757,12.106,12.3725,12.639,12.873,13.107,13.3805,13.654,13.713,13.772
1010,7.908,8.899,9.872,11.61,12.27,12.93,13.8685,14.807,15.2515,15.696,15.854,16.012,16.1595,16.307,16.4805,16.654,16.7295,16.805
1020,6.824,8.856,9.878,10.939,11.754,12.569,13.145,13.721,14.5,15.279,15.682,16.085,16.168,16.251,16.3015,16.352,16.4145,16.477
1030,6.941,8.237,9.345,10.352,10.698,11.044,11.805,12.566,13.062,13.558,13.7615,13.965,14.0975,14.23,14.335,14.44,14.537,14.634
1040,5.76,7.56,8.721,9.064,9.7755,10.487,11.128,11.769,12.182,12.595,12.9055,13.216,13.556,13.896,14.136,14.376,14.49,14.604
1050,5.759,7.154,8.513,8.895,9.637,10.379,11.1125,11.846,12.4175,12.989,13.44,13.891,14.1985,14.506,14.8965,15.287,15.5395,15.792
1060,6.66,8.177,8.653,9.923,10.745,11.567,12.11,12.653,13.102,13.551,13.7885,14.026,14.3365,14.647,14.905,15.163,15.5535,15.944
1070,6.518,8.083,9.28,9.733,10.4075,11.082,11.806,12.53,12.9725,13.415,13.783,14.151,14.464,14.777,14.9965,15.216,15.5555,15.895
1080,6.728,7.315,8.424,9.456,9.896,10.336,10.875,11.414,11.894,12.374,12.6735,12.973,13.328,13.683,14.054,14.425,14.7595,15.094
1090,6.28,7.542,8.197,8.522,9.3325,10.143,10.6815,11.22,12.0795,12.939,13.265,13.591,13.7715,13.952,14.285,14.618,14.8945,15.171
1100,6.28,7.542,7.962,8.881,9.48,10.079,10.674,11.269,11.7755,12.282,12.7775,13.273,13.587,13.901,14.292,14.683,14.9755,15.268
1110,6.052,7.079,7.962,8.47,9.2615,10.053,10.596,11.139,11.473,11.807,12.16,12.513,12.884,13.255,13.499,13.743,14.1185,14.494
1120,5.378,6.898,7.889,8.442,9.261,10.08,10.3025,10.525,11.0255,11.526,12.0295,12.533,13.2045,13.876,14.2505,14.625,14.8615,15.098
1130,5.847,7.074,8.026,8.527,9.269,10.011,10.2355,10.46,10.993,11.526,11.9695,12.413,12.804,13.195,13.562,13.929,14.389,14.849
1140,5.847,6.855,7.828,8.714,9.245,9.776,10.3235,10.871,11.335,11.799,12.24,12.681,12.93,13.179,13.629,14.079,14.449,14.819
1150,5.402,6.469,7.63,8.172,9.024,9.876,10.3635,10.851,11.3865,11.922,12.2705,12.619,12.998,13.377,13.7825,14.188,14.56,14.932
1160,5.141,6.387,7.217,7.986,8.9155,9.845,10.33,10.815,11.3575,11.9,12.2365,12.573,13.022,13.471,13.796,14.121,14.577,15.033
1170,5.462,6.384,7.693,8.368,9.039,9.71,10.43,11.15,11.7365,12.323,12.747,13.171,13.5065,13.842,14.4275,15.013,15.3285,15.644
1180,5.51,7.483,8.392,8.899,9.744,10.589,11.1275,11.666,12.059,12.452,12.9405,13.429,13.787,14.145,14.558,14.971,15.4675,15.964
1190,5.587,6.587,7.589,8.382,8.8985,9.415,9.939,10.463,11.138,11.813,12.3665,12.92,13.4375,13.955,14.317,14.679,15.1735,15.668
1200,6.034,6.83,8.063,8.324,9.0845,9.845,10.339,10.833,11.3785,11.924,12.337,12.75,13.298,13.846,14.2455,14.645,15.052,15.459
1210,5.029,6.116,6.598,8.01,8.628,9.246,9.835,10.424,11.083,11.742,12.237,12.732,13.054,13.376,13.6705,13.965,14.5145,15.064
1220,5.928,7.42,8.187,9.342,9.804,10.266,10.7225,11.179,11.6765,12.174,12.5575,12.941,13.249,13.557,13.8925,14.228,14.983,15.738
1230,6.115,8.157,9.106,9.922,10.528,11.134,11.641,12.148,12.5965,13.045,13.4935,13.942,14.2345,14.527,14.809,15.091,15.4645,15.838
1240,7.114,8.116,9.114,9.609,10.4095,11.21,11.6545,12.099,12.652,13.205,13.7425,14.28,14.7185,15.157,15.6145,16.072,16.713,17.354
1250,6.186,8.387,8.897,9.595,10.2755,10.956,11.668,12.38,12.7705,13.161,13.584,14.007,14.4675,14.928,15.3525,15.777,16.3975,17.018
1260,6.874,7.919,9.236,9.373,10.5455,11.718,12.054,12.39,12.8865,13.383,13.7405,14.098,14.58,15.062,15.603,16.144,16.8835,17.623
1270,6.472,8.118,9.166,9.594,10.4005,11.207,11.925,12.643,13.2445,13.846,14.184,14.522,14.9215,15.321,15.7575,16.194,16.7725,17.351
1280,6.047,7.067,8.36,9.811,10.4945,11.178,11.9805,12.783,13.415,14.047,14.671,15.295,15.6465,15.998,16.354,16.71,17.4045,18.099
1290,6.047,6.765,8.134,8.819,9.836,10.853,11.7695,12.686,13.251,13.816,14.273,14.73,15.2095,15.689,16.001,16.313,17.0275,17.742
1300,5.74,7.01,7.974,9.169,9.903,10.637,11.571,12.505,13.196,13.887,14.574,15.261,15.711,16.161,16.6165,17.072,17.938,18.804
1310,6.35,7.456,8.707,10.077,10.6115,11.146,11.7815,12.417,12.9765,13.536,14.1175,14.699,15.1695,15.64,16.053,16.466,17.114,17.762
1320,5.321,6.629,7.725,8.502,9.5995,10.697,11.5215,12.346,12.9345,13.523,14.125,14.727,15.2075,15.688,15.9075,16.127,16.405,16.683
1330,5.831,6.926,8.035,8.939,9.9075,10.876,11.648,12.42,13.1215,13.823,14.4005,14.978,15.343,15.708,16,16.292,16.598,16.904
1340,5.51,7.425,8.172,8.55,9.6045,10.659,11.5065,12.354,13.1515,13.949,14.481,15.013,15.3955,15.778,16.0685,16.359,16.6735,16.988
1350,4.98,6.849,7.668,8.694,9.872,11.05,11.624,12.198,12.8845,13.571,14.161,14.751,15.152,15.553,15.831,16.109,16.252,16.395
1360,4.852,6.161,7.731,8.705,9.4435,10.182,10.8445,11.507,11.9745,12.442,12.915,13.388,13.8685,14.349,14.59,14.831,15.0365,15.242
1370,5.515,6.887,8.035,9.143,9.777,10.411,10.882,11.353,12.0075,12.662,13.2625,13.863,14.345,14.827,15.172,15.517,15.9205,16.324
1380,5.515,6.033,6.958,8.28,8.9455,9.611,10.247,10.883,11.5725,12.262,12.681,13.1,13.498,13.896,14.355,14.814,15.1745,15.535
1390,5.515,6.336,7.754,8.46,9.0755,9.691,10.298,10.905,11.5085,12.112,12.7635,13.415,13.8815,14.348,14.7535,15.159,15.5805,16.002
1400,5.515,6.011,7.494,8.113,9.0685,10.024,10.709,11.394,12.0245,12.655,13.0415,13.428,13.9665,14.505,14.863,15.221,15.5775,15.934
1410,5.515,6.56,7.717,8.581,9.664,10.747,11.55,12.353,13.218,14.083,14.8095,15.536,16.002,16.468,17.0875,17.707,18.0885,18.47
1420,5.515,6.56,7.038,8.237,8.8115,9.386,10.41,11.434,12.4245,13.415,14.017,14.619,15.2645,15.91,16.43,16.95,17.442,17.934
1430,4.563,6.56,6.843,7.369,8.317,9.265,10.002,10.739,11.4415,12.144,12.8375,13.531,14.1225,14.714,15.162,15.61,16.0355,16.461
1440,4.039,5.188,5.609,6.31,6.7235,7.137,7.5815,8.026,8.8005,9.575,10.113,10.651,11.188,11.725,12.122,12.519,12.9685,13.418
1450,3.219,3.896,4.362,4.84,5.4375,6.035,6.545,7.055,7.5355,8.016,8.443,8.87,9.2835,9.697,10.072,10.447,10.791,11.135
1460,3.947,4.943,5.638,6.266,6.7715,7.277,7.76,8.243,8.679,9.115,9.6105,10.106,10.5865,11.067,11.335,11.603,11.8875,12.172
1470,4.481,5.797,6.716,7.852,8.5605,9.269,9.9195,10.57,11.0825,11.595,12.047,12.499,12.913,13.327,13.5265,13.726,14.0205,14.315
1480,5.091,6.069,6.914,7.7,8.2935,8.887,9.6705,10.454,10.8505,11.247,11.602,11.957,12.336,12.715,13.012,13.309,13.6635,14.018
1490,4.199,5.391,6.354,6.92,7.37,7.82,8.533,9.246,9.7325,10.219,10.565,10.911,11.348,11.785,12.1175,12.45,12.8115,13.173
1500,5.028,6.022,6.758,6.901,7.5505,8.2,8.67,9.14,9.672,10.204,10.751,11.298,11.5155,11.733,11.995,12.257,12.5785,12.9
1510,4.32,6.125,6.79,7.435,7.8865,8.338,8.8025,9.267,9.7345,10.202,10.69,11.178,11.6665,12.155,12.527,12.899,13.3545,13.81
1520,4.954,5.982,6.661,7.611,8.18,8.749,9.2895,9.83,10.2425,10.655,11.012,11.369,11.715,12.061,12.3995,12.738,13.1325,13.527
1530,4.871,6.49,7.529,8.533,8.9335,9.334,9.9425,10.551,11.0485,11.546,12.015,12.484,12.8355,13.187,13.528,13.869,14.1315,14.394
1540,4.996,6.467,7.499,8.053,8.7305,9.408,10.348,11.288,11.705,12.122,12.506,12.89,13.327,13.764,14.08,14.396,14.6525,14.909
1550,4.943,6.204,7.13,7.928,8.4865,9.045,9.692,10.339,10.921,11.503,11.942,12.381,12.7485,13.116,13.3675,13.619,13.868,14.117
1560,4.839,5.901,6.876,7.142,7.9425,8.743,9.333,9.923,10.1805,10.438,10.8445,11.251,11.717,12.183,12.5245,12.866,13.2205,13.575
1570,4.519,5.224,6.69,6.965,7.7205,8.476,9.0195,9.563,10.098,10.633,11.071,11.509,11.865,12.221,12.534,12.847,13.1575,13.468
1580,4.519,5.914,6.69,7.682,8.2915,8.901,9.568,10.235,10.82,11.405,11.7695,12.134,12.44,12.746,13.0175,13.289,13.438,13.587
1590,4.519,6.427,7.467,8.043,8.824,9.605,10.319,11.033,11.608,12.183,12.6555,13.128,13.424,13.72,14.001,14.282,14.543,14.804
1600,4.519,6.523,7.853,8.154,9.035,9.916,10.58,11.244,11.801,12.358,12.7995,13.241,13.6425,14.044,14.3165,14.589,14.7675,14.946
1610,5.826,6.844,7.98,9.048,9.443,9.838,10.717,11.596,12.215,12.834,13.2405,13.647,14.065,14.483,14.821,15.159,15.4175,15.676
1620,5.135,6.844,7.638,8.22,9.0785,9.937,10.95,11.963,12.396,12.829,13.391,13.953,14.289,14.625,14.9565,15.288,15.4545,15.621
1630,6.103,7.246,8.028,8.933,9.7985,10.664,11.4105,12.157,12.5935,13.03,13.595,14.16,14.56,14.96,15.3135,15.667,15.9155,16.164
1640,5.997,7.863,9.03,9.934,10.4525,10.971,11.67,12.369,12.8595,13.35,13.785,14.22,14.595,14.97,15.2015,15.433,15.6525,15.872
1650,6.951,8.085,9.113,9.899,10.429,10.959,11.615,12.271,12.8475,13.424,13.826,14.228,14.6225,15.017,15.372,15.727,15.941,16.155
1660,6.269,7.491,8.684,9.724,10.1585,10.593,11.246,11.899,12.48,13.061,13.445,13.829,14.1655,14.502,14.888,15.274,15.5445,15.815
1670,6.269,7.978,9.041,9.317,10.0625,10.808,11.247,11.686,12.2795,12.873,13.417,13.961,14.384,14.807,15.111,15.415,15.7715,16.128
1680,5.889,7.64,8.534,10.291,10.83,11.369,11.904,12.439,13.0275,13.616,14.0995,14.583,14.991,15.399,15.721,16.043,16.3875,16.732
1690,5.889,6.845,8.534,9.448,9.781,10.114,10.91,11.706,12.3765,13.047,13.6065,14.166,14.4595,14.753,15.123,15.493,15.787,16.081
1700,5.174,6.41,7.331,7.598,8.6985,9.799,10.4205,11.042,11.8705,12.699,13.154,13.609,14.0865,14.564,15.0855,15.607,16.105,16.603
1710,5.581,7.003,7.771,8.86,9.554,10.248,11.1335,12.019,12.6885,13.358,13.893,14.428,14.813,15.198,15.5665,15.935,16.3535,16.772
1720,6.446,8.176,9.01,9.755,10.4705,11.186,12.051,12.916,13.421,13.926,14.348,14.77,15.2055,15.641,15.9855,16.33,16.463,16.596
1730,5.258,6.21,7.138,7.711,8.201,8.691,9.2875,9.884,10.872,11.86,12.7565,13.653,14.2615,14.87,15.122,15.374,15.7825,16.191
1740,5.258,6.659,7.806,7.963,8.7705,9.578,10.1355,10.693,11.432,12.171,12.761,13.351,13.6565,13.962,14.2905,14.619,14.983,15.347
1750,5.868,7.295,8.179,8.558,9.138,9.718,10.4625,11.207,11.7345,12.262,12.7565,13.251,13.744,14.237,14.6605,15.084,15.5085,15.933
1760,5.868,6.441,7.098,7.802,8.3875,8.973,9.4975,10.022,10.6655,11.309,11.8735,12.438,12.688,12.938,13.3835,13.829,14.343,14.857
1770,5.904,6.729,7.31,8.253,8.772,9.291,9.875,10.459,11.1145,11.77,12.303,12.836,13.031,13.226,13.4975,13.769,14.224,14.679
1780,5.256,6.729,7.282,8.098,8.722,9.346,9.6385,9.931,10.333,10.735,11.092,11.449,11.868,12.287,12.986,13.685,14.0295,14.374
